model_name,split_name,quality_scope,spec_class,threshold_metric,threshold_value,actual_label,predicted_label,n_rows
baseline_legacy_gaussian,test,overall,,f1,0.3839469733058426,False,False,2921
baseline_legacy_gaussian,test,overall,,f1,0.3839469733058426,False,True,679
baseline_legacy_gaussian,test,overall,,f1,0.3839469733058426,True,False,302
baseline_legacy_gaussian,test,overall,,f1,0.3839469733058426,True,True,717
baseline_mlp_small,test,overall,,f1,0.35674602230956,False,False,3221
baseline_mlp_small,test,overall,,f1,0.35674602230956,False,True,379
baseline_mlp_small,test,overall,,f1,0.35674602230956,True,False,220
baseline_mlp_small,test,overall,,f1,0.35674602230956,True,True,799
baseline_random_forest,test,overall,,f1,0.6133333333333333,False,False,3311
baseline_random_forest,test,overall,,f1,0.6133333333333333,False,True,289
baseline_random_forest,test,overall,,f1,0.6133333333333333,True,False,286
baseline_random_forest,test,overall,,f1,0.6133333333333333,True,True,733
main_contrastive_v1,test,overall,,f1,0.498734471425149,False,False,2652
main_contrastive_v1,test,overall,,f1,0.498734471425149,False,True,948
main_contrastive_v1,test,overall,,f1,0.498734471425149,True,False,136
main_contrastive_v1,test,overall,,f1,0.498734471425149,True,True,883
baseline_legacy_gaussian,train,overall,,f1,0.3839469733058426,False,False,6915
baseline_legacy_gaussian,train,overall,,f1,0.3839469733058426,False,True,1485
baseline_legacy_gaussian,train,overall,,f1,0.3839469733058426,True,False,713
baseline_legacy_gaussian,train,overall,,f1,0.3839469733058426,True,True,1662
baseline_mlp_small,train,overall,,f1,0.35674602230956,False,False,7605
baseline_mlp_small,train,overall,,f1,0.35674602230956,False,True,795
baseline_mlp_small,train,overall,,f1,0.35674602230956,True,False,506
baseline_mlp_small,train,overall,,f1,0.35674602230956,True,True,1869
baseline_random_forest,train,overall,,f1,0.6133333333333333,False,False,8215
baseline_random_forest,train,overall,,f1,0.6133333333333333,False,True,185
baseline_random_forest,train,overall,,f1,0.6133333333333333,True,False,119
baseline_random_forest,train,overall,,f1,0.6133333333333333,True,True,2256
main_contrastive_v1,train,overall,,f1,0.498734471425149,False,False,6343
main_contrastive_v1,train,overall,,f1,0.498734471425149,False,True,2057
main_contrastive_v1,train,overall,,f1,0.498734471425149,True,False,333
main_contrastive_v1,train,overall,,f1,0.498734471425149,True,True,2042
