source_id,predicted_spec_class,predicted_evolution_stage,gauss_label,router_similarity,similarity,class_prior,distance_factor,quality_factor,metallicity_factor,final_score,priority_tier,reason_code,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,parallax,parallax_over_error,ruwe
48883844590606720,G,dwarf,G,0.4753165965921158,0.7564141127170422,1.05,0.96,1.0,1.0,0.7624654256187785,HIGH,HOST_SCORING,63.89218,20.133188,5566.459,4.3652,1.0532,0.1828,11.011924,562.76263,1.0481849
54884979056532608,K,dwarf,K,0.4984962206416957,0.7596561266252861,1.08,0.8,1.0,1.0,0.6563428934042473,HIGH,HOST_SCORING,52.64254,17.457626,4848.532,4.543,0.7867,-0.0226,2.071356,82.68676,1.0228946
2914878340241536,M,dwarf,M_MID,0.2947970465109468,0.4392163417287323,1.02,0.9,1.0,1.0,0.40320060170697625,MEDIUM,HOST_SCORING,48.899395,4.3199725,3336.3276,4.9195,0.3432,-0.0945,9.057717,212.99055,0.97854644
4661035948722944,M,dwarf,M_MID,0.3167419564246655,0.45578782351840436,1.02,0.9,1.0,0.96,0.4016766931102994,MEDIUM,HOST_SCORING,43.032627,3.35153,3371.7078,4.8989,0.3257,-0.3061,5.2004495,53.6677,1.0506507
37099863080963840,M,dwarf,M_MID,0.3440566487305252,0.5142801560645297,1.02,0.8,0.97,0.96,0.3907805079630687,MEDIUM,HOST_SCORING,57.494404,12.662119,3394.8743,4.8202,0.3648,-0.3467,2.8631027,14.560399,1.0000015
22754771094131200,M,dwarf,M_EARLY,0.6678236576135195,0.48409253885334275,1.02,0.8,1.0,0.96,0.37921873123615457,MEDIUM,HOST_SCORING,36.674683,8.477222,3649.5427,4.6669,0.4708,-0.687,2.786661,36.221977,1.0623659
20599968821903872,M,dwarf,M_MID,0.2845085772584074,0.41094589684341215,1.02,0.9,1.0,1.0,0.3772483333022524,MEDIUM,HOST_SCORING,41.99214,8.477943,3314.6174,4.9332,0.33,-0.1044,7.925336,106.50147,1.0207549
7092232251988480,M,dwarf,M_MID,0.29426790297038524,0.4546061418542159,1.02,0.8,1.0,1.0,0.3709586117530402,MEDIUM,HOST_SCORING,44.542683,5.9562964,3321.5322,4.8619,0.3903,0.0791,4.2750587,40.916237,0.9315824
37074436874654464,M,dwarf,M_MID,0.31468827221397677,0.4546691810619619,1.02,0.8,1.0,0.96,0.3561696496766985,MEDIUM,HOST_SCORING,57.787052,12.684085,3327.0928,4.626,0.3171,-0.8303,4.161256,28.141079,0.9956452
8740052289391872,M,dwarf,M_MID,0.31852143571068986,0.4412797785214584,1.02,0.8,0.97,1.0,0.3492817702953047,MEDIUM,HOST_SCORING,44.348694,8.060594,3392.0093,4.9306,0.3271,-0.273,3.0050385,15.574639,1.0958866
